"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Sphingopyxis",2.71089140487961,0,19.6592398427261,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,6.88599846977812
"Coxiella",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"Buchnera",2.07303460373146,4.8025613660619,7.86369593709044,7.14431516636048,0,13.9949109414758,10.5900151285931,13.1386861313869,0,0,0,0,0,0,0,0
"u114",0,0,0,0,0,0,0,27.7372262773723,0,0,0,0,0,0,0,0
"Succinivibrio",0,0,0,0.612369871402327,0,0,0,0,4.17246175243394,0,0,0,0,0,0,0
"Nitrosococcus",0,0,0,18.5752194325373,0,0,0,0,19.4714881780251,11.6959064327485,30.8008213552362,8.62068965517242,0,0,0,0
"Stenotrophomonas",18.6573114335832,8.0042689434365,24.9017038007864,31.0267401510512,58.0736543909349,44.5292620865141,33.2829046898639,51.094890510949,30.5980528511822,16.6441745389114,30.8008213552362,74.0365111561866,7.64419735927728,13.0235832453362,0,53.5577658760521
"Dongia",0,1.77872643187478,0,2.44947948560931,0,0,0,0,0,0,0,0,0,0,0,0
"Flavisolibacter",14.6707064264073,19.0323728210601,0,9.18554807103491,0,0,0,0,0,2.69905533063428,0,0,0,12.6715945089757,0,0
"Megasphaera",3.18928400574071,4.44681607968695,7.86369593709044,7.34843845682793,25.4957507082153,33.0788804071247,28.7443267776097,24.8175182481752,0,0,0,92.2920892494929,4.864489228631,0,0,0
"Sutterella",4.14606920746293,1.06723585912487,0,15.3092467850582,0,0,0,11.6788321167883,0,8.99685110211426,0,0,2.77970813064628,4.57585357268568,0,26.778882938026
"Uliginosibacterium",0,0,0,2.44947948560931,0,0,0,0,0,0,18.4804928131417,0,0,0,0,4.59066564651875
"SHD-231",0,0,0,0,0,0,0,2.91970802919708,0,0,0,0,0,0,0,0
"Erysipelothrix",0,0,0,0,4.24929178470256,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0.797321001435178,0,10.4849279161206,20.8205756276791,33.9943342776204,0,6.05143721633889,43.7956204379563,0,0,0,108.519269776876,0,2.11193241816262,16.9204737732657,3.06044376434583
"Brevundimonas",1.75410620315739,4.62468872287442,0,5.3072055521535,0,0,0,0,0,0,0,8.62068965517242,0,2.46392115452306,0,6.88599846977812
"Aeromonas",11.1624940200925,6.22554251156172,52.4246395806029,20.2082057562768,0,26.7175572519084,25.7186081694403,40.8759124087592,0,54.880791722897,55.4414784394252,12.6774847870183,0,15.8394931362196,0,108.645753634277
"Dialister",2.39196300430553,1.42298114549982,0,1.83710961420698,0,0,0,0,0,0,0,5.57809330628803,0,2.46392115452306,0,0
"Actinomycetospora",2.39196300430553,0,0,1.22473974280465,0,0,0,0,0,0,0,8.62068965517242,0,0,0,0
"Wolbachia",0,0,0,1.02061645233721,0,0,0,0,0,0,0,1.52129817444219,0,0,0,0
"Photobacterium",285.600382714081,191.924581999289,395.806028833552,96.3461931006328,2335.6940509915,2215.01272264631,6151.28593040848,8401.45985401461,108461.752433936,4480.4318488529,14478.4394250514,1911.76470588235,2521.89020152884,31318.1978176698,215174.280879865,34.4299923488906
"Pedobacter",3.18928400574071,4.98043400924938,0,2.44947948560931,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus",2.07303460373146,10.8502312344361,0,5.71545213308839,11.3314447592068,0,0,0,0,9.89653621232569,4.10677618069816,3.04259634888438,9.03405142460042,7.03977472720873,0,13.0068859984698
"Desulfovibrio",0.797321001435178,1.42298114549982,0,10.0020412329047,0,0,0,0,6.95410292072324,0,0,4.05679513184584,4.16956219596943,0,0,22.9533282325937
"Perlucidibaca",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"Actinoplanes",3.50821240631478,3.37958022056208,0,0,0,0,0,5.83941605839417,0,2.24921277552857,0,0,0,0,0,0
"Desulfosporosinus",0,0,0,0,0,0,0,0,6.95410292072324,0,0,3.54969574036511,0,0,0,0
"Faecalibacterium",6.21910381119439,3.02383493418712,17.038007863696,12.0432741375791,15.5807365439094,10.1781170483461,15.1285930408472,10.2189781021898,13.9082058414465,3.59874044084571,6.16016427104724,318.458417849899,10.4239054899236,7.7437521999296,15.2284263959391,0
"Veillonella",0.956785201722213,0.711490572749911,0,4.28658909981629,49.5750708215298,54.7073791348601,45.3857791225417,27.7372262773723,0,0,0,864.604462474645,13.2036136205699,7.03977472720873,0,0
