"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Sphingosinicella",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Geodermatophilus",82,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"Methylibium",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacterium",0,6,0,0,6,0,0,0,0,0,0,6,9,8,0,31
"Blastococcus",20,0,0,5,0,0,4,0,0,0,0,0,0,13,0,0
"Salinibacterium",0,0,0,34,0,0,0,0,0,0,0,0,15,0,0,0
"Chryseobacterium",34,19,0,43,90,0,0,0,0,0,0,0,0,0,0,6
"Edaphobacter",135,129,0,49,0,0,0,0,0,40,0,0,0,80,19,12
"Sporosarcina",133,145,0,59,0,21,0,5,0,31,0,0,0,51,0,0
"Nonomuraea",9,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Mycetocola",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"4-29",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Euzebya",0,0,0,7,0,0,3,0,0,0,0,7,0,0,0,0
"Alloiococcus",0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0
"Kocuria",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Desulfotalea",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Thermicanus",0,0,0,0,0,0,0,0,0,0,0,7,14,7,6,10
"Anaerolinea",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Beijerinckia",23,20,0,0,0,0,0,0,0,0,0,15,43,32,7,0
"Planctomyces",4,3,0,6,0,0,0,0,0,0,0,5,0,0,0,0
"Parabacteroides",10,0,0,52,0,0,0,0,0,6,0,6,0,0,0,8
"Phaeospirillum",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella",0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"Catellatospora",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"BD2-6",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodopila",50,18,0,19,0,0,0,0,0,8,0,0,0,30,0,0
"Afipia",22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosopumilus",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium",619,556,590,533,786,7388,995,513,126,71,258,104,430,135,182,27
"Filomicrobium",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium",9,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0
"Spirosoma",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Pontibacter",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arsenophonus",0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0
"Peptostreptococcus",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Gillisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Sinomonas",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Sediminibacterium",83,81,0,13,0,0,0,0,0,19,0,0,0,25,0,0
"WAL_1855D",3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"HTCC",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Balneimonas",39,14,0,0,0,0,0,0,0,13,0,0,0,19,0,0
"B-42",0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0
"Tepidimicrobium",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Afifella",29,8,0,30,0,0,0,0,0,10,0,13,0,12,0,0
"Halorhodospira",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"A17",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus",24,12,0,17,11,0,0,11,0,10,0,0,0,21,0,0
"Brochothrix",343,310,317,277,75,1454,49,196,17,47,163,30,74,45,18,22
"Candidatus Arthromitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Methylobacterium",89,92,0,180,0,0,0,6,0,12,0,0,7,26,0,0
"Mitsuokella",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Thermus",18,0,0,3,0,0,0,0,0,5,0,10,0,5,0,0
"Streptosporangium",3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Amoebophilus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vagococcus",15,0,19,17,92,0,0,0,0,0,0,0,0,0,0,0
"GOUTA19",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyrobacter",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Jeotgalicoccus",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Pirellula",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermabacter",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacter",0,0,0,22,0,0,0,0,0,7,0,0,0,0,0,9
"Gluconobacter",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Dyadobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Marmoricola",8,10,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"Actinoallomurus",41,33,0,38,0,0,0,0,0,12,0,20,24,45,0,0
"Pleomorphomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Leptolyngbya",0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0
"Sorangium",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Nitrosospira",0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
"Proteiniborus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella",0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,30
"Nostocoida",0,37,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Anaeroplasma",3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
"Aeromicrobium",50,33,0,22,0,0,0,0,0,18,0,0,0,17,0,0
