"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Sva0853",0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,2
"mle1-48",12,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0
"Vibrionales",1819,1096,324,660,1649,1787,4084,5773,77984,9960,7106,3770,3629,88975,127168,45
"Aeromonadales",70,35,40,102,0,21,17,33,3,122,27,96,18,87,13,147
"agg27",34,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0
"N1423WL",751,1083,74,245,0,0,0,0,5,217,5,0,0,213,3,20
"B07_WMSP1",132,154,0,26,0,0,0,0,0,31,0,16,24,52,0,0
"Rickettsiales",22,30,6,15,0,0,0,3,0,5,0,3,2,7,0,10
"Desulfuromonadales",17,0,11,116,8,4,0,8,0,0,0,12,5,0,0,0
"Coriobacteriales",0,0,0,18,6,9,13,8,0,2,0,138,0,0,0,16
"E2",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriales",0,0,0,12,0,0,0,19,0,0,0,5,0,0,0,0
"Holophagales",10,0,0,14,0,0,0,0,0,6,0,6,0,8,0,0
"JG30-KF-CM45",29,39,0,43,0,0,0,0,0,15,0,11,0,5,0,6
"LD1-PA13",7,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
"HTCC2188",0,0,0,0,0,6,0,0,4,0,0,12,0,0,0,0
"Desulfovibrionales",14,15,6,171,0,0,0,5,5,7,2,12,6,3,0,43
